Round,Mean_Variance,Number_of_outliers,Layer,Attack_Type,MALICIOUS_NODE_RATIO,MALICIOUS_DATA_RATIO,Weight_Min,Weight_Max,Weight_Mean,Weight_Median,Weight_Std,Weight_Q25,Weight_Q75,First_Weight,Run_ID,Source File,Is Malicious Data
1,0.0,0,distilbert.transformer.layer.4.output_layer_norm.weight,normal,0.0,0.0,0.08939791,1.4292035,0.7763305,0.78040314,0.06670925,0.7570266,0.80427176,0.8254014849662781,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.3.attention.out_lin.weight,normal,0.0,0.0,-0.27746058,0.29189545,-2.6807913e-05,2.1870545e-05,0.04378143,-0.02752182,0.027549956,-0.067855380475521,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.3.attention.out_lin.weight,normal,0.0,0.0,-0.27878806,0.29179755,-2.7078831e-05,3.6508012e-05,0.043780956,-0.027522685,0.027545817,-0.0665603354573249,0,dataset_normal.csv,False
2,0.0,0,distilbert.embeddings.position_embeddings.weight,normal,0.0,0.0,-0.9473335,0.72449553,-3.9737144e-05,-1.1794755e-05,0.016090501,-0.009372166,0.009353157,0.0199932549148798,0,dataset_normal.csv,False
1,0.0,0,distilbert.embeddings.position_embeddings.weight,normal,0.0,0.0,-0.94626707,0.72447383,-3.8484046e-05,-2.4240086e-05,0.016088463,-0.009369956,0.009344855,0.0199941210448741,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.4.attention.v_lin.weight,normal,0.0,0.0,-0.256975,0.23661391,3.269808e-05,7.9645815e-06,0.046910986,-0.030820241,0.030912358,-0.0527060702443122,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.4.attention.v_lin.weight,normal,0.0,0.0,-0.25747278,0.23561412,3.418776e-05,2.1346817e-05,0.046908654,-0.030829772,0.030917138,-0.0525019504129886,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.5.attention.q_lin.weight,normal,0.0,0.0,-0.64565647,0.62491506,-0.0002080396,-0.00033983594,0.049241703,-0.03276781,0.032452695,-0.0529752112925052,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.5.attention.q_lin.weight,normal,0.0,0.0,-0.6451807,0.6252538,-0.00020742013,-0.0003363526,0.049242847,-0.032762296,0.032420635,-0.053264919668436,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.3.ffn.lin2.weight,normal,0.0,0.0,-3.1353693,0.9950188,1.0277092e-05,4.5837216e-05,0.040748082,-0.025455276,0.025573416,-0.0023278486914932,0,dataset_normal.csv,False
