Round,Mean_Variance,Number_of_outliers,Layer,Attack_Type,MALICIOUS_NODE_RATIO,MALICIOUS_DATA_RATIO,Weight_Min,Weight_Max,Weight_Mean,Weight_Median,Weight_Std,Weight_Q25,Weight_Q75,First_Weight,Run ID
1,0.0,0,distilbert.transformer.layer.4.ffn.lin2.weight,random,0.1,0.1,-4.255054,2.376444,-2.5075577e-05,1.5959718e-06,0.042058468,-0.026515052,0.026571732,0.047031957656145,1
1,0.0,0,distilbert.transformer.layer.2.attention.v_lin.weight,random,0.1,0.1,-0.23303299,0.23444445,8.568805e-05,5.4524513e-05,0.042276215,-0.027368583,0.027502928,0.0683024451136589,1
2,0.0,0,distilbert.transformer.layer.2.attention.v_lin.weight,random,0.1,0.1,-0.23256151,0.23625097,8.498227e-05,5.9475442e-05,0.042275168,-0.027364343,0.027513206,0.0680940672755241,1
2,0.0,0,distilbert.transformer.layer.3.sa_layer_norm.weight,random,0.1,0.1,0.48124498,3.4650993,0.7385819,0.74038637,0.12914033,0.67888916,0.7936328,0.843298077583313,1
1,0.0,0,distilbert.transformer.layer.3.sa_layer_norm.weight,random,0.1,0.1,0.48177522,3.4659755,0.73859644,0.74052644,0.12916562,0.6791544,0.7936306,0.8432595729827881,1
1,0.0,0,distilbert.transformer.layer.2.output_layer_norm.weight,random,0.1,0.1,0.4818204,0.9435975,0.810864,0.8260339,0.07641316,0.76649857,0.8688736,0.907769739627838,1
2,0.0,0,distilbert.transformer.layer.2.output_layer_norm.weight,random,0.1,0.1,0.48109987,0.9441566,0.81091356,0.8269396,0.076436356,0.7658569,0.8694526,0.9067413806915284,1
1,0.0,0,distilbert.transformer.layer.2.ffn.lin1.weight,random,0.1,0.1,-0.7963125,1.2025253,0.00025813558,8.2782426e-05,0.046107326,-0.029028948,0.02935875,-0.0094962045550346,1
2,0.0,0,distilbert.transformer.layer.2.ffn.lin1.weight,random,0.1,0.1,-0.79484177,1.2008435,0.0002582223,9.212493e-05,0.046107106,-0.029027466,0.029361188,-0.0121161015704274,1
1,0.0,0,distilbert.transformer.layer.1.attention.q_lin.weight,random,0.1,0.1,-0.53732306,0.567587,-3.4607428e-06,7.9939826e-05,0.056427088,-0.034747787,0.03465654,0.0895232558250427,1
2,0.0,0,distilbert.transformer.layer.1.attention.q_lin.weight,random,0.1,0.1,-0.53650314,0.56767726,-1.6569652e-06,0.00010612211,0.056433402,-0.03475329,0.03467813,0.0908699929714202,1
2,0.0,0,distilbert.embeddings.LayerNorm.weight,random,0.1,0.1,0.08800152,0.9286479,0.74417543,0.77327836,0.13554882,0.73026586,0.8133235,0.843315064907074,1
1,0.0,0,distilbert.embeddings.LayerNorm.weight,random,0.1,0.1,0.08902314,0.9312586,0.74421406,0.77328885,0.13544193,0.72991914,0.81339395,0.8412971496582031,1
2,0.0,0,distilbert.transformer.layer.3.output_layer_norm.weight,random,0.1,0.1,0.31753454,1.1539351,0.7743337,0.7799117,0.05020796,0.74670935,0.8086864,0.8415266275405884,1
1,0.0,0,distilbert.transformer.layer.3.output_layer_norm.weight,random,0.1,0.1,0.31717488,1.1531495,0.7743418,0.7800833,0.05015853,0.74682814,0.808856,0.8409112691879272,1
1,0.0,0,distilbert.transformer.layer.5.ffn.lin2.weight,random,0.1,0.1,-3.1883094,1.0860807,3.9278584e-06,1.5840458e-05,0.037087306,-0.024535306,0.024555072,-0.0016546825645491,1
2,0.0,0,distilbert.transformer.layer.5.ffn.lin2.weight,random,0.1,0.1,-3.1849577,1.0865259,-1.6098593e-05,-4.2440106e-06,0.037086263,-0.024542939,0.024532735,-0.0039748731069266,1
